dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,65,56.584559202194214,-0.5888838696219967,-0.5725611889341181,0.20328006323863518,False,eom,euclidean,4,3,euclidean,0.18514528446371215,3,37,"(1, 1)",english,False,-0.08013684019025727,0.7051428571428572,0.6782853112539192
dataset_name,RF,LCB,66,61.27996206283569,-0.5555178203064576,-0.5537231339794304,0.20867451504380355,True,eom,euclidean,4,2,euclidean,0.17874647690108914,4,29,"(1, 1)",english,False,-0.06774664862796656,0.7033057851239669,0.5982010133123439
dataset_name,RF,LCB,67,56.66332721710205,-0.5706991733481759,-0.5608327880951571,0.21646662462442556,True,eom,euclidean,4,3,euclidean,0.18765525517850623,2,30,"(1, 1)",english,False,-0.07717990464252861,0.7025751072961374,0.5621297247771669
dataset_name,RF,LCB,68,86.51952481269836,-0.6034804542956421,-0.6013990412377724,0.17927676224877376,True,eom,euclidean,2,1,euclidean,0.19712392742189946,8,45,"(1, 1)",english,False,-0.09044496397539775,0.6420454545454546,0.6442082289750933
dataset_name,RF,LCB,69,91.98799800872803,-0.6244132899607115,-0.6107713221304668,0.1645966872119298,True,eom,euclidean,2,1,cosine,0.19887761727316786,5,42,"(1, 1)",english,False,-0.06390741413425087,0.6297786720321932,0.5540190208040139
dataset_name,RF,LCB,70,74.46159410476685,-0.5755416400535612,-0.5761279991197512,0.18680705364350095,True,eom,euclidean,3,1,cosine,0.18628966753562953,7,27,"(1, 1)",english,False,-0.0690191982289837,0.6750741839762612,0.5836050126560131
dataset_name,RF,LCB,71,54.71241497993469,-0.5424257330704199,-0.5411628641121703,0.22473608749295987,True,eom,euclidean,5,2,euclidean,0.1505593669513204,8,23,"(1, 1)",english,False,-0.07105528147144584,0.729064039408867,0.6411531333805772
dataset_name,RF,LCB,72,56.46603608131409,-0.5447272720843235,-0.5442163450197844,0.22288369269713046,True,eom,euclidean,5,3,euclidean,0.18941804600158937,8,15,"(1, 1)",english,False,-0.07231631396401193,0.726457399103139,0.6461149973657874
dataset_name,RF,LCB,73,57.75254702568054,-0.5490443852002203,-0.5494645106965413,0.2183101700808396,True,eom,euclidean,5,3,cosine,0.15951214776281156,9,12,"(1, 1)",english,False,-0.07123354771869048,0.7204918032786886,0.6757934526009742
dataset_name,RF,LCB,74,62.629822969436646,-0.5628500654919062,-0.5625429326141126,0.20866329115202956,True,eom,euclidean,5,3,euclidean,0.021308350824699177,4,12,"(1, 1)",english,False,-0.07669931990199,0.7014285714285714,0.7282463963646149
